source_file,timestamp,strategy,seed,comms_dropout,grid_size,n_steps,actual_n_steps,n_drones,n_ground,n_survivors,sim_step_seconds,actual_duration_seconds,terrain_source,survivor_recall,time_to_verification,false_positive_trips,hazard_exposure,ugv_travel_cost,n_frames,peak_fire_cells,final_fire_cells,peak_smoke_cells,final_smoke_cells,steps_to_first_scouted,steps_to_first_found,final_scouted,final_found,mean_comms_uptime,total_drone_path_len
lawnmower__d0p4__s5__20260615-015709-778118.json,20260615-015709-778118,lawnmower,5,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.2,243.0,0,0,2.5165257486514747,501,1957,1901,3885,3885,252,495,2,1,0.6012,45.6416
lawnmower__d0p4__s6__20260615-015811-547836.json,20260615-015811-547836,lawnmower,6,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.4,161.5,0,0,5.313401289284229,501,635,186,1436,1353,47,186,4,2,0.6072,45.8368
lawnmower__d0p4__s7__20260615-015909-830042.json,20260615-015909-830042,lawnmower,7,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.6,125.0,0,0,4.215621841670497,501,449,150,947,742,9,119,4,3,0.5812,45.6843
lawnmower__d0p4__s8__20260615-020001-390163.json,20260615-020001-390163,lawnmower,8,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.2,68.0,0,0,0.43818615286662066,501,454,333,848,835,241,309,1,1,0.6072,45.6764
lawnmower__d0p4__s9__20260615-020114-895544.json,20260615-020114-895544,lawnmower,9,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,0.0,501,900,898,2266,2266,,,0,0,0.6048,45.7805
lawnmower__d0p6__s0__20260615-021013-796133.json,20260615-021013-796133,lawnmower,0,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,74.0,0,0,2.110869739204645,501,1901,1701,4415,4415,324,447,2,1,0.3888,45.7791
lawnmower__d0p6__s10__20260615-022645-920995.json,20260615-022645-920995,lawnmower,10,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.6,150.0,0,0,4.655957520035656,501,480,16,696,83,5,126,4,3,0.3952,45.8293
lawnmower__d0p6__s11__20260615-022809-589649.json,20260615-022809-589649,lawnmower,11,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,58.0,0,0,3.322860832326114,501,424,26,542,255,267,421,3,1,0.386,45.7134
lawnmower__d0p6__s12__20260615-022909-724650.json,20260615-022909-724650,lawnmower,12,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.6,127.0,0,19,3.3120755226998213,501,855,855,1935,1935,174,340,4,3,0.4192,45.774
lawnmower__d0p6__s13__20260615-023016-447951.json,20260615-023016-447951,lawnmower,13,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.4,221.5,0,110,4.666247809971438,501,1736,1570,4170,4170,19,273,2,2,0.414,45.684
lawnmower__d0p6__s14__20260615-023131-246221.json,20260615-023131-246221,lawnmower,14,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.4,280.5,0,10,5.4633392916293815,501,474,102,856,303,20,222,3,2,0.404,45.6908
lawnmower__d0p6__s15__20260615-023238-216331.json,20260615-023238-216331,lawnmower,15,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.4,232.5,0,21,4.485731301936369,501,1555,1553,2708,2708,17,356,2,2,0.3964,45.6889
lawnmower__d0p6__s16__20260615-023358-449817.json,20260615-023358-449817,lawnmower,16,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.4,244.0,0,0,4.111525354678818,501,456,147,1103,574,56,299,2,2,0.406,45.7598
lawnmower__d0p6__s1__20260615-021503-245130.json,20260615-021503-245130,lawnmower,1,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.4,233.0,0,0,4.341806582524441,501,508,106,1098,703,121,445,3,2,0.4088,45.6415
lawnmower__d0p6__s2__20260615-021631-385035.json,20260615-021631-385035,lawnmower,2,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,186.0,0,69,3.6672716857865453,501,2068,1808,5205,5205,125,311,2,1,0.3904,45.6955
lawnmower__d0p6__s3__20260615-021804-859017.json,20260615-021804-859017,lawnmower,3,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,293.0,0,52,5.462113000685349,501,2318,1873,6104,6098,17,310,2,1,0.3848,45.6964
lawnmower__d0p6__s4__20260615-021925-310188.json,20260615-021925-310188,lawnmower,4,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,48.0,0,0,0.412239907525084,501,1891,1528,4816,4803,120,168,1,1,0.4072,45.6436
lawnmower__d0p6__s5__20260615-022101-469036.json,20260615-022101-469036,lawnmower,5,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,243.0,0,0,2.5165257486514747,501,1957,1901,3885,3885,252,495,2,1,0.4052,45.6416
lawnmower__d0p6__s6__20260615-022220-031906.json,20260615-022220-031906,lawnmower,6,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.4,161.5,0,0,5.313401289284229,501,635,186,1436,1353,47,186,4,2,0.3996,45.8368
lawnmower__d0p6__s7__20260615-022323-906975.json,20260615-022323-906975,lawnmower,7,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.6,125.0,0,0,4.215621841670497,501,449,150,947,742,9,119,4,3,0.3796,45.6843
lawnmower__d0p6__s8__20260615-022426-034553.json,20260615-022426-034553,lawnmower,8,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,68.0,0,0,0.43818615286662066,501,454,333,848,835,241,309,1,1,0.4196,45.6764
lawnmower__d0p6__s9__20260615-022541-986967.json,20260615-022541-986967,lawnmower,9,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,0.0,501,900,898,2266,2266,,,0,0,0.4104,45.7805
lawnmower__d0p8__s0__20260615-023506-516322.json,20260615-023506-516322,lawnmower,0,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.2,74.0,0,0,2.110869739204645,501,1901,1701,4415,4415,324,447,2,1,0.2032,45.7791
lawnmower__d0p8__s10__20260615-025008-145756.json,20260615-025008-145756,lawnmower,10,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.6,150.0,0,0,4.655957520035656,501,480,16,696,83,5,126,4,3,0.1992,45.8293
lawnmower__d0p8__s11__20260615-025122-131293.json,20260615-025122-131293,lawnmower,11,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.2,58.0,0,0,3.322860832326114,501,424,26,542,255,267,421,3,1,0.1992,45.7134
lawnmower__d0p8__s12__20260615-025222-403324.json,20260615-025222-403324,lawnmower,12,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.6,127.0,0,19,3.3120755226998213,501,855,855,1935,1935,174,340,4,3,0.218,45.774
lawnmower__d0p8__s13__20260615-025332-106923.json,20260615-025332-106923,lawnmower,13,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.4,221.5,0,110,4.666247809971438,501,1736,1570,4170,4170,19,273,2,2,0.2024,45.684
lawnmower__d0p8__s14__20260615-025444-783037.json,20260615-025444-783037,lawnmower,14,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.4,280.5,0,10,5.4633392916293815,501,474,102,856,303,20,222,3,2,0.1824,45.6908
lawnmower__d0p8__s15__20260615-025558-907816.json,20260615-025558-907816,lawnmower,15,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.4,232.5,0,21,4.485731301936369,501,1555,1553,2708,2708,17,356,2,2,0.1892,45.6889
lawnmower__d0p8__s16__20260615-025725-397068.json,20260615-025725-397068,lawnmower,16,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.4,244.0,0,0,4.111525354678818,501,456,147,1103,574,56,299,2,2,0.2044,45.7598
lawnmower__d0p8__s1__20260615-023955-445841.json,20260615-023955-445841,lawnmower,1,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.4,233.0,0,0,4.341806582524441,501,508,106,1098,703,121,445,3,2,0.2008,45.6415
lawnmower__d0p8__s2__20260615-024110-236524.json,20260615-024110-236524,lawnmower,2,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.2,186.0,0,69,3.6672716857865453,501,2068,1808,5205,5205,125,311,2,1,0.1888,45.6955
lawnmower__d0p8__s3__20260615-024230-935097.json,20260615-024230-935097,lawnmower,3,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.2,293.0,0,52,5.462113000685349,501,2318,1873,6104,6098,17,310,2,1,0.1912,45.6964
lawnmower__d0p8__s4__20260615-024340-172488.json,20260615-024340-172488,lawnmower,4,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.2,48.0,0,0,0.412239907525084,501,1891,1528,4816,4803,120,168,1,1,0.2092,45.6436
lawnmower__d0p8__s5__20260615-024501-699251.json,20260615-024501-699251,lawnmower,5,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.2,243.0,0,0,2.5165257486514747,501,1957,1901,3885,3885,252,495,2,1,0.1992,45.6416
lawnmower__d0p8__s6__20260615-024606-802019.json,20260615-024606-802019,lawnmower,6,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.4,161.5,0,0,5.313401289284229,501,635,186,1436,1353,47,186,4,2,0.1904,45.8368
lawnmower__d0p8__s7__20260615-024701-389674.json,20260615-024701-389674,lawnmower,7,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.6,125.0,0,0,4.215621841670497,501,449,150,947,742,9,119,4,3,0.1892,45.6843
lawnmower__d0p8__s8__20260615-024756-571909.json,20260615-024756-571909,lawnmower,8,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.2,68.0,0,0,0.43818615286662066,501,454,333,848,835,241,309,1,1,0.2072,45.6764
lawnmower__d0p8__s9__20260615-024905-409234.json,20260615-024905-409234,lawnmower,9,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,0.0,501,900,898,2266,2266,,,0,0,0.1944,45.7805
nearest_candidate__d0p0__s0__20260615-025854-766119.json,20260615-025854-766119,nearest_candidate,0,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,166.0,0,20,6.3868102736305445,501,1762,1719,4595,4595,5,164,2,2,1.0,57.9173
nearest_candidate__d0p0__s10__20260615-031015-889900.json,20260615-031015-889900,nearest_candidate,10,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,154.0,0,0,8.226923852227628,501,468,66,642,304,90,169,4,2,1.0,57.7794
nearest_candidate__d0p0__s11__20260615-031230-883864.json,20260615-031230-883864,nearest_candidate,11,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,178,7.552083869930357,501,1929,1883,4396,4396,338,,2,0,1.0,57.6196
nearest_candidate__d0p0__s12__20260615-031340-991515.json,20260615-031340-991515,nearest_candidate,12,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,153.5,0,0,6.567671575816348,501,457,64,764,604,227,386,4,2,1.0,57.6135
nearest_candidate__d0p0__s13__20260615-031435-739765.json,20260615-031435-739765,nearest_candidate,13,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,96.5,0,0,6.988537776982412,501,441,145,853,686,206,261,3,2,1.0,58.0072
nearest_candidate__d0p0__s14__20260615-031534-424910.json,20260615-031534-424910,nearest_candidate,14,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,58.0,0,20,7.6129108453169465,501,1980,1402,5220,5220,313,391,2,2,1.0,57.3466
nearest_candidate__d0p0__s15__20260615-031655-330881.json,20260615-031655-330881,nearest_candidate,15,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.6,108.66666666666667,0,356,7.951626578345895,501,1928,1767,5197,5197,10,95,3,3,1.0,57.8534
nearest_candidate__d0p0__s16__20260615-031810-120716.json,20260615-031810-120716,nearest_candidate,16,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.2,163.0,0,55,6.234040099312551,501,1570,1569,3663,3663,40,203,1,1,1.0,57.698
nearest_candidate__d0p0__s1__20260615-030018-719622.json,20260615-030018-719622,nearest_candidate,1,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,5.872756883967668,501,2083,1998,4850,4850,,,0,0,1.0,57.6399
nearest_candidate__d0p0__s2__20260615-030127-618791.json,20260615-030127-618791,nearest_candidate,2,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.6,127.0,0,21,8.61967345699668,501,437,283,1303,1036,22,98,4,3,1.0,57.9285
nearest_candidate__d0p0__s3__20260615-030230-610502.json,20260615-030230-610502,nearest_candidate,3,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.2,270.0,0,0,7.3721057791262865,501,434,290,927,927,104,374,2,1,1.0,57.9019
nearest_candidate__d0p0__s4__20260615-030329-479723.json,20260615-030329-479723,nearest_candidate,4,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.2,338.0,0,0,7.072429572232068,501,436,141,832,725,12,350,3,1,1.0,57.6609
nearest_candidate__d0p0__s5__20260615-030443-766631.json,20260615-030443-766631,nearest_candidate,5,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.6,126.66666666666667,0,0,7.029973695287481,501,1816,1406,4117,4104,127,248,3,3,1.0,57.9875
nearest_candidate__d0p0__s6__20260615-030559-158077.json,20260615-030559-158077,nearest_candidate,6,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,387,8.087433795444667,501,457,113,1173,503,,,0,0,1.0,58.0343
nearest_candidate__d0p0__s7__20260615-030702-532504.json,20260615-030702-532504,nearest_candidate,7,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.2,134.0,0,0,7.02160535659641,501,1858,1858,3507,3507,156,290,4,1,1.0,57.6459
nearest_candidate__d0p0__s8__20260615-030806-567433.json,20260615-030806-567433,nearest_candidate,8,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,102.0,0,0,6.998819168657064,501,2068,1500,4442,4442,20,103,2,2,1.0,57.6923
nearest_candidate__d0p0__s9__20260615-030913-407244.json,20260615-030913-407244,nearest_candidate,9,0.0,128,500,500,3,2,5,2.0,1000.0,real,0.4,184.0,0,0,6.606481057126075,501,630,630,1924,1922,239,403,3,2,1.0,58.0187
nearest_candidate__d0p2__s0__20260615-031920-197118.json,20260615-031920-197118,nearest_candidate,0,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,79.0,0,0,6.518605353310704,501,1815,1352,3949,3945,193,280,3,2,0.798,57.8387
nearest_candidate__d0p2__s10__20260615-033408-521037.json,20260615-033408-521037,nearest_candidate,10,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.2,228.0,0,0,7.480308218393475,501,444,97,694,350,250,478,1,1,0.792,57.8341
nearest_candidate__d0p2__s11__20260615-033516-119472.json,20260615-033516-119472,nearest_candidate,11,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,200.5,0,0,6.354367617284879,501,430,21,554,248,39,208,2,2,0.8024,58.1002
nearest_candidate__d0p2__s12__20260615-033628-979153.json,20260615-033628-979153,nearest_candidate,12,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,229.5,0,73,8.365951051935554,501,1583,1583,3114,3114,165,370,4,2,0.8112,57.8148
nearest_candidate__d0p2__s13__20260615-033736-278018.json,20260615-033736-278018,nearest_candidate,13,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,319,8.050962001550943,501,2139,2077,5079,5079,314,,1,0,0.798,57.3573
nearest_candidate__d0p2__s14__20260615-033847-196880.json,20260615-033847-196880,nearest_candidate,14,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,101.5,0,0,6.180482144001871,501,436,392,977,977,31,112,3,2,0.7968,57.7585
nearest_candidate__d0p2__s15__20260615-033953-338412.json,20260615-033953-338412,nearest_candidate,15,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.2,154.0,0,39,7.573859477415681,501,1425,1425,2412,2412,126,447,3,1,0.8072,57.4662
nearest_candidate__d0p2__s16__20260615-034103-566215.json,20260615-034103-566215,nearest_candidate,16,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,101.5,0,0,7.430624763015658,501,438,154,1032,592,24,384,4,2,0.8068,57.8094
nearest_candidate__d0p2__s1__20260615-032430-831482.json,20260615-032430-831482,nearest_candidate,1,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,70.5,0,0,6.777459514094517,501,537,113,1112,739,20,100,3,2,0.8024,57.8809
nearest_candidate__d0p2__s2__20260615-032534-228368.json,20260615-032534-228368,nearest_candidate,2,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,169.5,0,4,6.086200300254859,501,2084,1826,5240,5240,35,202,2,2,0.8032,58.2141
nearest_candidate__d0p2__s3__20260615-032650-304438.json,20260615-032650-304438,nearest_candidate,3,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.2,295.0,0,57,6.861351739498787,501,1775,1641,4876,4876,17,312,2,1,0.804,57.4426
nearest_candidate__d0p2__s4__20260615-032746-843385.json,20260615-032746-843385,nearest_candidate,4,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.2,46.0,0,0,5.570328834699467,501,1825,1766,4968,4968,343,389,2,1,0.8048,57.6036
nearest_candidate__d0p2__s5__20260615-032905-488689.json,20260615-032905-488689,nearest_candidate,5,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,18,5.8635384677909315,501,2003,1801,4345,4345,289,,1,0,0.7964,57.4491
nearest_candidate__d0p2__s6__20260615-033008-367355.json,20260615-033008-367355,nearest_candidate,6,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.6,113.0,0,0,7.118892083643004,501,632,164,1149,885,52,89,3,3,0.7924,57.8644
nearest_candidate__d0p2__s7__20260615-033057-031304.json,20260615-033057-031304,nearest_candidate,7,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,187.0,0,0,6.732108464231715,501,484,91,834,567,82,203,2,2,0.7944,57.6105
nearest_candidate__d0p2__s8__20260615-033158-421602.json,20260615-033158-421602,nearest_candidate,8,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.6,104.33333333333333,0,0,8.548633625730872,501,437,346,618,618,133,204,4,3,0.8072,57.652
nearest_candidate__d0p2__s9__20260615-033309-386240.json,20260615-033309-386240,nearest_candidate,9,0.2,128,500,500,3,2,5,2.0,1000.0,real,0.4,182.5,0,29,6.590475470060483,501,510,267,1222,1048,31,356,2,2,0.7944,57.3927
nearest_candidate__d0p4__s0__20260615-034206-804556.json,20260615-034206-804556,nearest_candidate,0,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,5.652381964959204,501,1815,1352,3949,3945,421,,1,0,0.5964,57.804
nearest_candidate__d0p4__s10__20260615-035520-379166.json,20260615-035520-379166,nearest_candidate,10,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.4,192.0,0,0,9.367779617663473,501,444,97,694,350,35,157,4,2,0.5852,58.0465
nearest_candidate__d0p4__s11__20260615-035631-056005.json,20260615-035631-056005,nearest_candidate,11,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.4,98.5,0,0,5.51690244092606,501,430,21,554,248,280,319,2,2,0.5964,57.7387
nearest_candidate__d0p4__s12__20260615-035747-772080.json,20260615-035747-772080,nearest_candidate,12,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.2,284.0,0,78,9.237354452721775,501,1583,1583,3114,3114,42,326,2,1,0.606,57.6706
nearest_candidate__d0p4__s13__20260615-035856-414518.json,20260615-035856-414518,nearest_candidate,13,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.2,384.0,0,118,8.055969646666199,501,2139,2077,5079,5079,100,484,1,1,0.5972,57.7039
nearest_candidate__d0p4__s14__20260615-040005-085766.json,20260615-040005-085766,nearest_candidate,14,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.2,87.0,0,0,5.608809936908074,501,436,392,977,977,246,333,2,1,0.5924,58.0025
nearest_candidate__d0p4__s15__20260615-040115-844118.json,20260615-040115-844118,nearest_candidate,15,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.2,265.0,0,0,9.775805692188442,501,1425,1425,2412,2412,61,326,3,1,0.6116,57.777
nearest_candidate__d0p4__s16__20260615-040227-852138.json,20260615-040227-852138,nearest_candidate,16,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.6,264.0,0,0,7.325275934301317,501,438,154,1032,592,32,283,3,3,0.62,57.7471
nearest_candidate__d0p4__s1__20260615-034516-658124.json,20260615-034516-658124,nearest_candidate,1,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,5.787162758177146,501,537,113,1112,739,274,,2,0,0.6116,57.6767
nearest_candidate__d0p4__s2__20260615-034625-671879.json,20260615-034625-671879,nearest_candidate,2,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.4,147.5,0,13,6.8509949214058,501,2084,1826,5240,5240,46,148,3,2,0.606,57.5218
nearest_candidate__d0p4__s3__20260615-034751-749425.json,20260615-034751-749425,nearest_candidate,3,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.2,341.0,0,5,6.752475388115272,501,1775,1641,4876,4876,80,421,1,1,0.602,58.0587
nearest_candidate__d0p4__s4__20260615-034855-136962.json,20260615-034855-136962,nearest_candidate,4,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.4,216.5,0,0,6.721926943631843,501,1825,1766,4968,4968,58,232,3,2,0.6076,58.1319
nearest_candidate__d0p4__s5__20260615-035015-625397.json,20260615-035015-625397,nearest_candidate,5,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,18,4.9995054010069,501,2003,1801,4345,4345,,,0,0,0.5912,57.5421
nearest_candidate__d0p4__s6__20260615-035117-128413.json,20260615-035117-128413,nearest_candidate,6,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.6,136.0,0,0,7.199460899922997,501,632,164,1149,885,11,39,4,3,0.5904,57.5793
nearest_candidate__d0p4__s7__20260615-035207-296280.json,20260615-035207-296280,nearest_candidate,7,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.6,123.66666666666667,0,0,6.815324002178386,501,484,91,834,567,16,132,3,3,0.6056,57.9494
nearest_candidate__d0p4__s8__20260615-035305-658171.json,20260615-035305-658171,nearest_candidate,8,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.4,143.0,0,0,8.538209424354136,501,437,346,618,618,120,235,3,2,0.6056,57.4236
nearest_candidate__d0p4__s9__20260615-035412-266246.json,20260615-035412-266246,nearest_candidate,9,0.4,128,500,500,3,2,5,2.0,1000.0,real,0.2,212.0,0,0,6.373437522212043,501,510,267,1222,1048,31,243,2,1,0.5832,57.887
nearest_candidate__d0p6__s0__20260615-040342-220609.json,20260615-040342-220609,nearest_candidate,0,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.8,117.75,0,0,6.657457202905789,501,1815,1352,3949,3945,30,89,4,4,0.3988,57.8635
nearest_candidate__d0p6__s10__20260615-041445-291916.json,20260615-041445-291916,nearest_candidate,10,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,120.0,0,4,7.456205646973103,501,444,97,694,350,43,163,2,1,0.392,58.2235
nearest_candidate__d0p6__s11__20260615-041603-785643.json,20260615-041603-785643,nearest_candidate,11,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,5.4041339866817,501,430,21,554,248,411,,1,0,0.3948,57.8273
nearest_candidate__d0p6__s12__20260615-041708-783319.json,20260615-041708-783319,nearest_candidate,12,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,215.0,0,7,7.568397730356082,501,1583,1583,3114,3114,129,344,1,1,0.4068,57.6075
nearest_candidate__d0p6__s13__20260615-041825-558408.json,20260615-041825-558408,nearest_candidate,13,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,392.0,0,141,8.453147823922336,501,2139,2077,5079,5079,78,470,2,1,0.3924,57.6502
nearest_candidate__d0p6__s14__20260615-041941-565551.json,20260615-041941-565551,nearest_candidate,14,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,125.0,0,0,7.338215681258589,501,436,392,977,977,52,343,2,1,0.392,57.3532
nearest_candidate__d0p6__s15__20260615-042040-351269.json,20260615-042040-351269,nearest_candidate,15,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,90.0,0,23,6.215052158338949,501,1425,1425,2412,2412,247,337,1,1,0.418,57.7618
nearest_candidate__d0p6__s16__20260615-042151-814795.json,20260615-042151-814795,nearest_candidate,16,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.0,,0,0,5.725785221206024,501,438,154,1032,592,484,,2,0,0.4192,58.182
nearest_candidate__d0p6__s1__20260615-040453-961727.json,20260615-040453-961727,nearest_candidate,1,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,164.0,0,0,6.796279727714136,501,537,113,1112,739,49,213,3,1,0.4128,58.0618
nearest_candidate__d0p6__s2__20260615-040558-082284.json,20260615-040558-082284,nearest_candidate,2,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.4,177.5,0,25,6.772281417739578,501,2084,1826,5240,5240,32,130,2,2,0.416,57.6679
nearest_candidate__d0p6__s3__20260615-040714-517438.json,20260615-040714-517438,nearest_candidate,3,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.4,151.0,0,45,6.8322993635665625,501,1775,1641,4876,4876,124,404,3,2,0.4116,57.9963
nearest_candidate__d0p6__s4__20260615-040823-673260.json,20260615-040823-673260,nearest_candidate,4,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.4,276.5,0,26,7.691975163994357,501,1825,1766,4968,4968,127,387,3,2,0.404,57.3992
nearest_candidate__d0p6__s5__20260615-040940-823334.json,20260615-040940-823334,nearest_candidate,5,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.6,168.33333333333334,0,24,6.488324464764446,501,2003,1801,4345,4345,28,183,4,3,0.3944,57.584
nearest_candidate__d0p6__s6__20260615-041051-845558.json,20260615-041051-845558,nearest_candidate,6,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,28.0,0,0,5.600384735967964,501,632,164,1149,885,11,39,1,1,0.3996,57.8656
nearest_candidate__d0p6__s7__20260615-041139-750788.json,20260615-041139-750788,nearest_candidate,7,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.8,174.75,0,0,8.065335227875039,501,484,91,834,567,170,217,4,4,0.4052,57.8714
nearest_candidate__d0p6__s8__20260615-041236-095393.json,20260615-041236-095393,nearest_candidate,8,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.2,63.0,0,0,7.906792452558875,501,437,346,618,618,335,398,2,1,0.3932,57.84
nearest_candidate__d0p6__s9__20260615-041343-389929.json,20260615-041343-389929,nearest_candidate,9,0.6,128,500,500,3,2,5,2.0,1000.0,real,0.6,198.33333333333334,0,26,7.123151022824459,501,510,267,1222,1048,153,430,4,3,0.3904,57.4728
nearest_candidate__d0p8__s0__20260615-042305-512765.json,20260615-042305-512765,nearest_candidate,0,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.2,230.0,0,0,5.368117101490498,501,1815,1352,3949,3945,72,302,1,1,0.2068,57.7545
nearest_candidate__d0p8__s10__20260615-043429-487665.json,20260615-043429-487665,nearest_candidate,10,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.6,147.33333333333334,0,3,8.196217200253159,501,444,97,694,350,43,163,3,3,0.1868,57.768
nearest_candidate__d0p8__s11__20260615-043542-854368.json,20260615-043542-854368,nearest_candidate,11,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.2,169.0,0,0,6.1456882818602026,501,430,21,554,248,66,235,2,1,0.192,58.0449
nearest_candidate__d0p8__s12__20260615-043649-719961.json,20260615-043649-719961,nearest_candidate,12,0.8,128,500,500,3,2,5,2.0,1000.0,real,0.4,208.5,0,54,8.310977554647252,501,1583,1583,3114,3114,45,300,4,2,0.2104,57.9283
