run_id,approach,comms_dropout,seed,steps,grid_size,terrain_source,terrain_cache_path,ignore_happo_env
63,random_action,0.6,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
64,random_action,0.6,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
65,random_action,0.6,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
66,random_action,0.6,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
67,random_action,0.6,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
68,random_action,0.8,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
69,random_action,0.8,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
70,random_action,0.8,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
71,random_action,0.8,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
72,random_action,0.8,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
73,random_action,0.8,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
74,random_action,0.8,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
75,random_action,0.8,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
76,random_action,0.8,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
77,random_action,0.8,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
78,random_action,0.8,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
79,random_action,0.8,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
80,random_action,0.8,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
81,random_action,0.8,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
82,random_action,0.8,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
83,random_action,0.8,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
84,random_action,0.8,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
85,random_walk,0.0,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
86,random_walk,0.0,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
87,random_walk,0.0,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
88,random_walk,0.0,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
89,random_walk,0.0,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
